area,perimeter,physiological_length,physiological_width,aspect_ratio,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,energy,homogeneity,correlation,dissimilarity,label
34659.0,898.1909056901932,256,224,1.1428571428571428,123.63664245605469,128.79476928710938,97.99835205078125,42.47030147128532,36.79493087331017,55.42347649283507,576.0415134803925,0.010669954604960924,0.06599989357700475,0.8103963636029688,17.52628676470589,1
43870.5,899.1787127256393,256,224,1.1428571428571428,126.07583618164062,111.62213134765625,90.07234191894531,59.574690040768424,47.00688420637281,60.61802020001978,199.3216605392157,0.02365358287609253,0.2239357635156393,0.9627534813149439,8.084589460784313,1
32550.5,899.6051195859909,222,228,0.9736842105263158,127.88259887695312,131.8842315673828,100.71026611328125,47.03280350615071,41.57758931199785,59.72179465786127,529.9787683823533,0.011091892233481008,0.07988897705394313,0.8599008378382693,16.594209558823536,1
29812.5,753.1787134408951,212,189,1.1216931216931216,131.23458862304688,133.84573364257812,105.46846008300781,46.58067123841913,40.97241331753406,62.04175967809375,316.28209252450995,0.01336970453705992,0.1014829714283607,0.9164833628715878,12.313342524509807,1
28958.0,774.2152925729752,216,225,0.96,118.57476806640625,124.88020324707031,104.61599731445312,46.26510153125337,34.92767894209309,52.2290330188299,304.85006127450987,0.013290593373119466,0.0970539146864613,0.8994668644076431,12.471262254901964,1
42939.5,890.6345562934875,256,225,1.1377777777777778,109.72447204589844,120.87660217285156,95.98063659667969,57.21738351510214,48.14319947476159,61.97630206979994,437.6112438725492,0.011004853343652173,0.09252520728636751,0.917828213059525,14.381709558823534,1
38520.0,964.1909059286118,256,226,1.1327433628318584,111.83016967773438,122.72569274902344,95.95718383789062,59.42285769011851,44.878696262399664,64.66431449886632,488.58540134803945,0.010268589140446193,0.07302402632132347,0.9053440022930656,16.173452818627457,1
42343.0,891.4802289009094,210,256,0.8203125,126.2337646484375,126.41957092285156,95.66368103027344,35.65196406355673,36.099194677428216,56.95587058732552,211.0388786764707,0.015816443897426303,0.13303643186060835,0.9195254197087152,9.688112745098042,1
41048.5,953.2619724273682,256,225,1.1377777777777778,106.80665588378906,118.8106689453125,98.42532348632812,47.81529830210953,38.00617665341154,52.58816892671573,201.59108455882358,0.017141068398531217,0.15049856124993855,0.9429068795935199,9.341574754901963,1
41058.5,930.3746701478958,256,256,1.0,111.00682067871094,115.21395874023438,90.09773254394531,44.96782872891018,31.04655452428421,53.88248499914292,172.10994178921575,0.016928320561873458,0.1479754583089411,0.9360269062214436,8.534880514705886,1
38115.5,853.5462440252304,230,230,1.0,102.05143737792969,102.81781005859375,93.4449462890625,55.26912080159683,42.6924913030522,52.836726392316265,127.6099417892157,0.021304025557744664,0.20092799632757344,0.9714229406111479,7.024739583333332,1
39501.5,918.9777023792267,212,256,0.828125,110.19070434570312,118.54074096679688,88.31585693359375,55.79390046298981,48.00763279652892,59.32454550387428,517.234773284314,0.014462183855764792,0.10980227773391296,0.899051650718722,15.612040441176477,1
36655.5,894.2914109230042,226,256,0.8828125,123.68182373046875,134.1095428466797,100.1678466796875,44.13171463378414,33.103350686277764,55.9809226765049,554.6568933823531,0.01094374152527113,0.06787492314819074,0.8016314062240644,17.214920343137262,1
35405.5,819.6051203012466,218,229,0.9519650655021834,117.08589172363281,126.20016479492188,95.08665466308594,41.145893856252236,32.04655175623471,50.95872546055378,239.93339460784324,0.013948621825230672,0.10555771197265279,0.9015872727086173,10.983639705882359,1
41662.5,950.2914108037949,256,256,1.0,110.51165771484375,120.05967712402344,85.20112609863281,53.42765766986158,43.05786313414722,61.13688309591887,438.5655637254905,0.011516190182228547,0.0885736804811704,0.9008861364613054,14.991789215686282,1
35822.0,895.5046137571335,225,256,0.87890625,108.03756713867188,117.47708129882812,101.80337524414062,50.684276926649346,39.122341970248186,52.55058457146828,286.34329044117663,0.01291886707855754,0.10384872489042475,0.9239309612539683,11.792616421568633,1
45190.5,1043.9238793849945,229,256,0.89453125,125.51254272460938,132.35394287109375,108.21774291992188,49.088495441113764,47.89012953792092,56.92525987039356,479.39784007352966,0.011311963661079963,0.10012276894699298,0.8946949114656862,14.666222426470593,1
43658.0,1011.8477592468262,256,256,1.0,119.1209716796875,128.70872497558594,109.45802307128906,48.573516960734324,38.10039125798474,51.70920986309858,347.6695925245099,0.01212152158892716,0.0897563631968669,0.8996789431271904,13.41116727941177,1
37443.5,872.0904004573822,227,217,1.0460829493087558,110.03530883789062,120.16244506835938,96.47956848144531,56.3675778929207,44.71926363238131,63.55325686991779,213.37832414215697,0.016815907722647173,0.16573676498954548,0.9566870739521591,9.371767769607846,1
42138.0,882.4507912397385,256,213,1.2018779342723005,103.17752075195312,116.81135559082031,91.75978088378906,54.01779852444514,40.12463355716106,59.263643421722115,271.7668045343138,0.015098281209515401,0.11409335152588836,0.9351368744280084,11.507092524509806,1
32609.0,1007.7300101518631,256,227,1.1277533039647578,115.76750183105469,121.63056945800781,97.30795288085938,60.823206170300125,51.88531240406119,64.17570301260317,530.982766544118,0.012126921542767696,0.10359265238941573,0.9128881262158481,15.6990962009804,1
37741.5,958.551297545433,224,256,0.875,104.49227905273438,116.69346618652344,98.07191467285156,49.783823769254056,38.67268012147634,51.05349290667791,252.42248774509818,0.014063488667507703,0.12816260580931177,0.9304435919082903,10.757383578431376,1
30046.5,808.2325347661972,218,224,0.9732142857142857,130.4988555908203,134.42935180664062,105.31062316894531,49.61240915828575,42.853688789484366,64.51126871296886,406.73048406862756,0.012541213506117607,0.10086610248355793,0.9033772590012322,13.833210784313728,1
43995.5,1002.6345574855804,256,256,1.0,108.78086853027344,121.10282897949219,86.35356140136719,59.76835497913315,46.95120953928613,66.38316241908271,337.99433210784326,0.011894403748216188,0.11469266884831053,0.9375647650159736,12.25870098039216,1
36144.0,899.93101978302,256,226,1.1327433628318584,109.4908447265625,118.21575927734375,94.05964660644531,54.81496202173855,41.716365430267096,60.70076509668044,525.989797794118,0.01111876485549114,0.0715656505106321,0.8823695387247522,16.55796568627452,1
35260.0,941.1025941371918,228,256,0.890625,130.54571533203125,134.17982482910156,108.98075866699219,52.40291447533055,43.61167547081468,63.71155286153321,511.3859528186277,0.011832130055522866,0.08755106774834304,0.8851431674288183,15.401240808823534,1
44013.0,1004.6761860847473,225,256,0.87890625,108.86788940429688,121.42218017578125,100.42411804199219,45.94613349370077,35.46673941138865,48.749346549954794,284.76850490196085,0.015247133255161804,0.11657718890027115,0.906184673823879,11.710539215686275,1
46482.0,1005.9655092954636,222,256,0.8671875,122.10408020019531,130.7544708251953,107.08207702636719,37.461944205091704,31.254753591102435,45.92845951440812,119.46257659313727,0.018910090189230545,0.18695282513974462,0.944766867251198,7.078722426470589,1
37623.0,873.8477593660355,221,256,0.86328125,106.0599365234375,112.88639831542969,93.87615966796875,43.03188340805464,30.065815570543087,47.367524924555774,365.7954197303924,0.012543893589928013,0.07999369487434538,0.8513735593583175,14.048360906862753,1
38879.0,843.5634889602661,230,226,1.0176991150442478,103.25840759277344,116.11122131347656,96.60275268554688,50.77554969019235,39.73932553472908,54.19004554458221,271.742830882353,0.013507963601634648,0.1044662282762229,0.9300985466893039,11.690226715686276,1
39927.5,903.7472548484802,256,229,1.1179039301310043,95.70768737792969,105.71769714355469,90.07455444335938,50.45951885136105,39.82383772401804,50.72921819423069,345.9686274509806,0.012299989820544416,0.10272107052318324,0.9088783781466683,12.956250000000006,1
37045.0,1004.9015827178955,256,256,1.0,117.77035522460938,126.75592041015625,101.69143676757812,58.20176144666012,44.141666142118595,61.007992859823965,341.8265012254904,0.01377269417477844,0.1340780319359673,0.9309144471734528,11.761825980392162,1
34538.5,899.4629834890366,256,227,1.1277533039647578,115.58856201171875,119.72207641601562,105.02178955078125,49.961511062799964,36.725992449774836,54.35002385319099,533.4227328431375,0.010070969459383539,0.06469894793664817,0.8454315347276457,17.212316176470598,1
44886.0,889.5046133995056,256,230,1.1130434782608696,119.04716491699219,107.79763793945312,89.87733459472656,51.05815835760255,37.2962556477006,48.30397531215353,108.60317095588238,0.022263887292905703,0.20842640302924603,0.9694476518479512,6.484482230392156,1
46568.5,898.977702498436,256,225,1.1377777777777778,106.11325073242188,119.48634338378906,91.35235595703125,57.67102826740688,45.57969674259828,59.44081639436957,407.96954656862766,0.01287777798403593,0.13083773270952714,0.9181735092135048,13.18713235294118,1
46501.5,1099.580733537674,256,256,1.0,114.25447082519531,121.8192138671875,96.09553527832031,49.782669334899204,43.764223421385154,58.33824694594804,307.2188419117648,0.01254582495323001,0.11981555047149119,0.927444785447897,11.604227941176473,1
45061.5,894.3502867221832,221,256,0.86328125,107.19552612304688,118.75581359863281,100.21589660644531,48.21971651001995,39.065548178925404,52.39920049725955,168.67856924019614,0.025066704730742878,0.2002491415016586,0.953871463549004,7.996032475490198,1
43016.0,992.6761877536774,256,256,1.0,109.32809448242188,117.01861572265625,90.44587707519531,53.77158866960853,42.537933167835014,58.974063930349615,380.5388480392159,0.010957188385138133,0.08764230255200071,0.91284087002648,13.960753676470594,1
